Afghanistan,"GINI coefficient, most recent value",N/A
Afghanistan,"Number of researchers working in R & D per million, most recent value",N/A
Afghanistan,"Mortality rate per live 1000 births, most recent value",51.5
Afghanistan,Life expectancy from birth (WB),63.67
Afghanistan,"GDP per capita in PPP, international current dollars (World Bank)",1972.18
Afghanistan,"Research and development as percentage of GDP, most recent value",N/A
Albania,"GINI coefficient, most recent value",29
Albania,"Mortality rate per live 1000 births, most recent value",7.8
Albania,Life expectancy from birth (WB),78.35
Albania,"Number of researchers working in R & D per million, most recent value",156.1
Albania,"GDP per capita in PPP, international current dollars (World Bank)",12943.46
Albania,"Research and development as percentage of GDP, most recent value",0.15
Algeria,"Mortality rate per live 1000 births, most recent value",20.6
Algeria,"GINI coefficient, most recent value",27.6
Algeria,Life expectancy from birth (WB),76.08
Algeria,"Number of researchers working in R & D per million, most recent value",168.02
Algeria,"GDP per capita in PPP, international current dollars (World Bank)",15260.35
Algeria,"Research and development as percentage of GDP, most recent value",0.07
Argentina,"Number of researchers working in R & D per million, most recent value",1220
Argentina,"Mortality rate per live 1000 births, most recent value",9.19
Argentina,"GINI coefficient, most recent value",42.4
Argentina,Life expectancy from birth (WB),76.58
Argentina,"GDP per capita in PPP, international current dollars (World Bank)",20784.77
Argentina,"Research and development as percentage of GDP, most recent value",0.63
Armenia,"Number of researchers working in R & D per million, most recent value",N/A
Armenia,"Mortality rate per live 1000 births, most recent value",11.3
Armenia,"GINI coefficient, most recent value",32.5
Armenia,Life expectancy from birth (WB),74.62
Armenia,"GDP per capita in PPP, international current dollars (World Bank)",9647.49
Armenia,"Research and development as percentage of GDP, most recent value",N/A
Australia,"Mortality rate per live 1000 births, most recent value",3
Australia,"GINI coefficient, most recent value",34.7
Australia,Life expectancy from birth (WB),82.5
Australia,"Number of researchers working in R & D per million, most recent value",4539.49
Australia,"GDP per capita in PPP, international current dollars (World Bank)",48460.05
Australia,"Research and development as percentage of GDP, most recent value",1.93
Austria,"Mortality rate per live 1000 births, most recent value",2.9
Austria,"GINI coefficient, most recent value",30.5
Austria,Life expectancy from birth (WB),80.89
Austria,"Number of researchers working in R & D per million, most recent value",5157.52
Austria,"GDP per capita in PPP, international current dollars (World Bank)",52397.75
Austria,"Research and development as percentage of GDP, most recent value",3.09
Azerbaijan,"Number of researchers working in R & D per million, most recent value",N/A
Azerbaijan,"GINI coefficient, most recent value",16.6
Azerbaijan,"Mortality rate per live 1000 births, most recent value",20.5
Azerbaijan,Life expectancy from birth (WB),72.03
Azerbaijan,"GDP per capita in PPP, international current dollars (World Bank)",17398.16
Azerbaijan,"Research and development as percentage of GDP, most recent value",N/A
Bangladesh,"Number of researchers working in R & D per million, most recent value",N/A
Bangladesh,"Mortality rate per live 1000 births, most recent value",26.9
Bangladesh,"GINI coefficient, most recent value",32.4
Bangladesh,Life expectancy from birth (WB),72.49
Bangladesh,"GDP per capita in PPP, international current dollars (World Bank)",3868.82
Bangladesh,"Research and development as percentage of GDP, most recent value",N/A
Belarus,"Mortality rate per live 1000 births, most recent value",2.8
Belarus,"GINI coefficient, most recent value",27
Belarus,"Number of researchers working in R & D per million, most recent value",N/A
Belarus,Life expectancy from birth (WB),73.83
Belarus,"GDP per capita in PPP, international current dollars (World Bank)",18836.52
Belarus,"Research and development as percentage of GDP, most recent value",N/A
Belgium,"Mortality rate per live 1000 births, most recent value",3.1
Belgium,"GINI coefficient, most recent value",27.7
Belgium,Life expectancy from birth (WB),80.99
Belgium,"Number of researchers working in R & D per million, most recent value",4734.04
Belgium,"GDP per capita in PPP, international current dollars (World Bank)",47840.2
